Ancien nom;Libellé;Code;Type;Description /role;OS;VLAN;Adresse IP;Adresse IP2;Adresse IP3;Adresse IP4;Adresse IP5;Adresse IP6;Adresse IP7;Adresse IP8;Adresse IP9;Adresse IP10;Adresse IP11;Virtualisation;Cluster;Site d'hébergement;Statut;Version Oracle;Supervisé;Type Serveur;Service BDD ;1_Code Appli;2_Libellé Appli
srv-rec-ligeo;SRV-REC-LIGEO;SRVR0109;Serveur Virtuel;;Linux Debian 10 (64b);VLAN72 SI;172.16.22.5;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-varnish-01;SRV-VARNISH-01;SRVP0021;Serveur Virtuel;serveurs proxy frontaux  pour sites externes de prd-II2;Linux Debian 7 (64b);DMZ;192.168.222.14;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;à rattacher à sarthe.fr/ à décommissioner?
srv-imp-02;SRV-IMP-02;SRVP0140;Serveur Virtuel;Serveur Impressions et gestion a preciser isabelle;Microsoft Windows Server 2008 (32b);VLAN72 SI;172.16.20.100;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra imp
srv-dom-01;SRV-DOM-01;SRVP0141;Serveur Virtuel;Controleur de domaine AD;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.39;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL273;Active Directory
SRV-DOM-02;SRV-DOM-02;SRVP0142;Serveur Physique;Controleur de domaine AD;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.18;;;;;;;;;;;NA;PHY;Sartel;;;Oui;PRD;;;
srv-imp-2012;SRV-IMP-2012;SRVP0143;Serveur Virtuel; serveur Impression ;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.45;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;;infra imp
srv-varnish-02;SRV-VARNISH-02;SRVP0022;Serveur Virtuel;serveurs proxy frontaux  pour sites externes de prd-II2;Linux Debian 7 (64b);DMZ;192.168.222.15;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRD;;;à rattacher à sarthe.fr/ à décommissioner?
SRV-DOM-06;SRV-DOM-06;SRVP0146;Serveur Physique;Controleur de domaine AD;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.160;;;;;;;;;;;NA;PHY;Croix de Pierre;;;Oui;PRD;;;
srv-dom-07;SRV-DOM-07;SRVP0147;Serveur Virtuel;Controleur de domaine AD;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.20.161;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL273;Active Directory
srv-int-geostat;SRV-INT-GEOSTAT;SRVP0148;Serveur Virtuel;;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.22.17;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;APPL251;Geocortex-Analytics
srv-prd-gru;SRV-PRD-GRU;SRVP0178;Serveur Virtuel;web gestion relation utilisateurs;Linux Debian 7 (64b);VLAN72 SI;172.16.21.13;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL038;CAPDEMAT
SRV-DOM-10;SRV-DOM-10;SRVP0150;Serveur Physique;;Microsoft Windows Server 2008 R2 (64b);;172.19.158.1;;;;;;;;;;;NA;PHY;Croix de Pierre;;;Non;HP;;;
SRV-DOM-11;SRV-DOM-11;SRVP0151;Serveur Physique;;Microsoft Windows Server 2008 R2 (64b);;172.19.63.1;;;;;;;;;;;NA;PHY;Croix de Pierre;;;Non;HP;;;
SRV-DOM-12;SRV-DOM-12;SRVP0152;Serveur Physique;;Microsoft Windows Server 2008 R2 (64b);;Pas de réponse;;;;;;;;;;;NA;PHY;Croix de Pierre;;;Non;HP;;;
srv-preprod-varnish01;SRV-PREPROD-VARNISH01;SRVR0002;Serveur Virtuel;;Linux Debian 7 (64b);DMZ;192.168.222.17;;;;;;;;;;;VMWARE;DMZ;Virtuel;;NA;Oui;PRE;;;
srv-tst-gru;SRV-TST-GRU;SRVR0132;Serveur Virtuel;;Linux Debian 7 (64b);VLAN72 SI;172.16.20.193;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;TST;;;
srv-prd-asg;SRV-PRD-ASG;SRVP0155;Serveur Virtuel;Frontal Application Solis ASG;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.200;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL154;SOLIS - ASG
srv-prd-ast;SRV-PRD-AST;SRVP0156;Serveur Virtuel;Frontal Application Solis AST;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.20.201;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL155;SOLIS - AST (ASE-AFI-PAIE-IP-AGREMENT-FSL)
srv-prd-astech;SRV-PRD-ASTECH;SRVP0157;Serveur Virtuel;Frontal Application MILPAT;Microsoft Windows Server 2008 R2 (64b);VLAN72 SI;172.16.20.78;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL114;MILPAT
srv-prd-BddEfal;SRV-PRD-BDDEFAL;SRVP0158;Serveur Virtuel;BDD  application Multigest Social;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.34;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL117;MULTIGEST
srv-prd-bo2;SRV-PRD-BO2;SRVP0159;Serveur Virtuel;;Microsoft Windows Server 2012 R2 (64b);VLAN72 SI;172.16.21.14;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL033;BO
srv-prd-budget;SRV-PRD-BUDGET;SRVP0160;Serveur Virtuel;applications DGFIP Totem;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.32;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL193;TOTEM
srv-prd-courrier;SRV-PRD-COURRIER;SRVP0162;Serveur Virtuel;Frontal application courrier;Microsoft Windows Server 2016 (64b);VLAN72 SI;172.16.21.45;;;;;;;;;;;VMWARE;LAN;Virtuel;;NA;Oui;PRD;;APPL272;AIRS COURRIER
